phrase,meaning_short,status,clips_sourced,scripted,edited,published_date,notes
Actions speak louder than words,What you do matters more than what you say,Idea,,,,,Sample episode already drafted
The early bird catches the worm,Arriving/starting early gives an advantage,Idea,,,,,
Don't judge a book by its cover,Don't form opinions based on appearance alone,Idea,,,,,
When in Rome do as the Romans do,Adapt to the customs of wherever you are,Idea,,,,,
The pen is mightier than the sword,Words/ideas can have more impact than force,Idea,,,,,
Every cloud has a silver lining,There's something good in every bad situation,Idea,,,,,
Don't count your chickens before they hatch,Don't assume success before it happens,Idea,,,,,
A picture is worth a thousand words,Images convey complex ideas better than text,Idea,,,,,
Practice makes perfect,Repetition improves skill,Idea,,,,,
Better late than never,Doing something late is better than not at all,Idea,,,,,
When the going gets tough the tough get going,Strong people work harder under pressure,Idea,,,,,
You can't have your cake and eat it too,You can't enjoy two conflicting benefits at once,Idea,,,,,
Curiosity killed the cat,Being too curious can get you in trouble,Idea,,,,,
The grass is always greener on the other side,Other situations always look better than your own,Idea,,,,,
Don't put all your eggs in one basket,Don't risk everything on one thing,Idea,,,,,
Absence makes the heart grow fonder,Distance increases affection,Idea,,,,,
Beggars can't be choosers,If you need help you can't be picky about it,Idea,,,,,
Birds of a feather flock together,Similar people tend to group together,Idea,,,,,
Blood is thicker than water,Family bonds are stronger than other relationships,Idea,,,,,
Don't bite the hand that feeds you,Don't hurt someone who helps/supports you,Idea,,,,,
Don't cry over spilt milk,Don't be upset over something that can't be undone,Idea,,,,,
Every dog has its day,Everyone gets a moment of success eventually,Idea,,,,,
Honesty is the best policy,Telling the truth is always the wisest choice,Idea,,,,,
If it ain't broke don't fix it,Don't change something that's already working,Idea,,,,,
It takes two to tango,Both parties are responsible in a conflict/interaction,Idea,,,,,
Kill two birds with one stone,Accomplish two things with one action,Idea,,,,,
Let sleeping dogs lie,Don't stir up old problems unnecessarily,Idea,,,,,
Look before you leap,Think carefully before acting,Idea,,,,,
No pain no gain,Achievement requires effort/sacrifice,Idea,,,,,
Once bitten twice shy,Bad experience makes you cautious next time,Idea,,,,,
Out of sight out of mind,You forget things/people you don't see often,Idea,,,,,
Rome wasn't built in a day,Big achievements take time,Idea,,,,,
The apple doesn't fall far from the tree,Children resemble their parents,Idea,,,,,
The proof is in the pudding,You judge something by testing/using it,Idea,,,,,
Two wrongs don't make a right,Retaliating with wrongdoing doesn't fix a wrong,Idea,,,,,
When it rains it pours,Problems tend to happen all at once,Idea,,,,,
You can't judge a book by its cover,See don't judge a book by its cover,Idea,,,,,
You reap what you sow,Consequences match your actions,Idea,,,,,
A watched pot never boils,Time feels slower when you're waiting anxiously,Idea,,,,,
All that glitters is not gold,Not everything attractive is genuinely valuable,Idea,,,,,
Barking up the wrong tree,Pursuing a mistaken or misdirected course of action,Idea,,,,,
Bite off more than you can chew,Take on more than you can handle,Idea,,,,,
Break the ice,Ease tension in a social situation,Idea,,,,,
Burn the midnight oil,Work late into the night,Idea,,,,,
Cut corners,Do something poorly/cheaply to save time or money,Idea,,,,,
Get a taste of your own medicine,Experience treatment you gave to others,Idea,,,,,
Hit the nail on the head,Describe exactly what's causing a situation,Idea,,,,,
Let the cat out of the bag,Reveal a secret accidentally,Idea,,,,,
Once in a blue moon,Something that happens very rarely,Idea,,,,,
The ball is in your court,It's your turn to act or decide,Idea,,,,,
